399 unique permissions found.

0                                                            | 1                              | 2
org.hammerspoon.Hammerspoon                                  | Documents Folder               | ✅ Allowed
org.pqrs.Karabiner-Core-Service                              | Input Monitoring (Listen)      | ✅ Allowed
org.pqrs.Karabiner-Elements.Settings                         | Full Disk Access               | ❌ Denied
org.pqrs.Karabiner-EventViewer                               | Input Monitoring (Listen)      | ✅ Allowed
org.pqrs.Karabiner-Updater                                   | Full Disk Access               | ❌ Denied
org.processing.app                                           | Desktop Folder                 | ✅ Allowed
org.processing.app                                           | Documents Folder               | ✅ Allowed
org.processing.app                                           | Downloads Folder               | ✅ Allowed
org.processing.app                                           | Microphone                     | ✅ Allowed
org.python.python                                            | Documents Folder               | ✅ Allowed
org.raspberrypi.imagingutility                               | Removable Volumes              | ✅ Allowed
org.spyder-ide                                               | Downloads Folder               | ✅ Allowed
org.xquartz.X11                                              | Desktop Folder                 | ✅ Allowed
pro.betterdisplay.BetterDisplay                              | Accessibility                  | ✅ Allowed
ru.keepcoder.Telegram                                        | Camera                         | ✅ Allowed
ru.keepcoder.Telegram                                        | Microphone                     | ✅ Allowed
ru.keepcoder.Telegram                                        | Screen Recording               | ✅ Allowed
todesktop.com.ToDesktop-Installer                            | AppBundles                     | ✅ Allowed
us.zoom.xos                                                  | Accessibility                  | ✅ Allowed
us.zoom.xos                                                  | Camera                         | ✅ Allowed
us.zoom.xos                                                  | Downloads Folder               | ✅ Allowed
us.zoom.xos                                                  | Full Disk Access               | ❌ Denied
us.zoom.xos                                                  | Microphone                     | ✅ Allowed
us.zoom.xos                                                  | Screen Recording               | ✅ Allowed
us.zoom.ZoomAutoUpdater                                      | Full Disk Access               | ❌ Denied
